price,Ram,ROM,ROM_type,display_size,resolution_width,resolution_height,warranty,gen,P_brand_amd,P_brand_intel,P_brand_apple,P_brand_other,P_type_ryzen5,P_type_i3,P_type_i5,P_type_m1,P_type_i7,P_type_other,P_type_ryzen3,P_type_i9,P_type_m2,P_type_ryzen7,P_type_ryzen9,brand_HP,brand_Acer,brand_Lenovo,brand_Apple,brand_Dell,brand_Asus,brand_Samsung,brand_other,brand_MSI,brand_Infinix,brand_LG
49900,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39900,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26990,8,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59729,16,512,1,14.0,2240.0,1400.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69990,8,256,1,13.3,2560.0,1600.0,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39990,8,512,1,14.0,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36790,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74990,16,512,1,13.3,1080.0,1920.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10990,4,128,1,14.1,1366.0,768.0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10990,4,64,0,11.6,1366.0,768.0,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29990,8,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53649,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33990,8,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79990,32,1024,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45990,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49900,8,512,1,16.0,1920.0,1200.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104990,8,256,1,13.6,2560.0,1664.0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
54990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49580,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55990,16,512,1,16.0,1920.0,1200.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
43990,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19850,4,256,1,15.6,1366.0,768.0,1,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28990,8,512,1,15.6,1920.0,1080.0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54999,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56889,8,512,1,15.6,1920.0,1080.0,1,6.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
179880,16,1024,1,16.0,1920.0,1200.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53790,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37990,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96990,16,1024,1,15.6,2560.0,1440.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59990,16,512,1,16.1,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62990,16,1024,1,14.0,1920.0,1200.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30990,8,512,1,14.0,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36490,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77990,16,1024,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41190,8,256,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89990,16,512,1,16.0,1920.0,1200.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
399999,32,1024,1,16.0,3200.0,2000.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31990,8,512,1,15.6,1080.0,1920.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31490,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70590,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23990,8,256,1,15.6,1920.0,1080.0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37999,8,512,1,15.6,1366.0,768.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52990,16,512,1,14.0,1920.0,1200.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30849,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34990,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49990,16,512,1,16.0,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
51780,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68990,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85990,16,1024,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
148990,32,1024,1,16.0,3200.0,2000.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72990,16,512,1,17.3,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84490,16,1024,1,14.0,1920.0,1200.0,1,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33990,16,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35990,16,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43990,16,512,1,14.0,2880.0,1800.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62990,16,512,1,16.0,1920.0,1200.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65990,16,1024,0,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23990,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61990,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36990,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50970,16,512,1,16.0,1920.0,1200.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
184999,16,512,1,15.6,1920.0,1200.0,0,10.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109990,16,1024,1,16.1,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39150,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92999,16,512,1,14.0,2880.0,1800.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80990,16,512,1,16.1,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55850,8,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38990,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53990,16,1024,0,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38990,16,512,1,14.0,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139234,16,1024,1,16.0,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57990,16,1024,0,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89999,8,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37990,16,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30990,8,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59089,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72999,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126742,16,1024,1,16.1,2560.0,1440.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
126990,8,256,1,15.3,2880.0,1864.0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
49990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74390,16,512,1,14.0,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60990,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98174,16,512,1,16.1,1920.0,1080.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18990,8,256,1,14.0,1920.0,1080.0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38990,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41950,8,512,1,14.0,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46990,16,512,1,15.6,3200.0,2000.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9999,2,32,0,11.6,1366.0,768.0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74990,8,512,1,15.6,1920.0,1080.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
33990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10990,4,32,0,11.6,1366.0,768.0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88990,32,1024,1,15.6,1920.0,1080.0,2,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49990,8,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
80739,16,512,1,16.0,1920.0,1200.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62990,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69501,16,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59990,16,512,1,14.0,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54990,8,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37729,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50712,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44990,16,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23990,8,512,1,14.0,1920.0,1200.0,1,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49990,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52101,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28990,8,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69490,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39965,8,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54990,16,512,1,14.0,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46999,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83990,16,512,1,15.6,2880.0,1620.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51499,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50990,16,512,1,14.0,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23990,4,128,0,15.6,1366.0,768.0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27990,8,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79990,16,1024,1,14.0,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84390,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24990,8,256,1,15.6,1920.0,1080.0,1,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
281990,32,1024,1,16.0,2880.0,1800.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26590,8,512,1,15.6,1366.0,768.0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37990,16,1024,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71189,16,512,1,15.6,1920.0,1080.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
